cd_cnpj;vl_latitude;vl_longitude;vl_total_veiculos_antt;vl_total_veiculos_leves;vl_total_veiculos_pesados;fl_optante_simples;qt_filial;fl_optante_simei;de_saude_tributaria;de_nivel_atividade
65070146000230;-23,5702953;-46,6197298;;;;0;;0;AMARELO;MEDIA
02053352000130;-21,5368229;-42,6413579;;;;0;;0;LARANJA;MEDIA
06319255001170;-27,4872075;-50,9728528;;;;0;;0;VERDE;ALTA
10886199000150;-20,3137737;-40,2941848;;;;1;;0;VERDE;ALTA
12019359000190;-22,9249284;-43,3431213;;;;0;;0;AMARELO;MEDIA
06216178000150;-24,8569233;-54,3334256;;;;0;;0;AZUL;MEDIA
12459122000120;-22,7853052;-43,0051048;;;;1;;1;VERDE;MEDIA
10532571000120;-20,4780031;-49,7779205;;;;0;;0;AMARELO;MEDIA
11163415000100;-22,0268377;-47,8934375;;;;0;;0;AZUL;ALTA
20963351002230;-19,6284156;-43,220858;;4;0;0;;0;VERDE;ALTA
55055743000150;-23,6911701;-46,5606889;;;;0;;0;VERMELHO;MEDIA
11199599000150;-23,5714458;-46,697283;;;;1;;0;VERDE;MEDIA
09445384000120;-5,2887251;-36,7603816;;4;0;1;3;0;VERDE;ALTA
87301180000120;-29,4589733;-51,9673123;;;;0;;0;LARANJA;MEDIA
08739568000130;-11,7946561;-37,9435616;;;;0;;0;VERDE;ALTA
04500550000120;-6,3685511;-48,0697669;;;;0;;0;LARANJA;MEDIA
12810402000130;-23,3969772;-46,9995522;;;;1;;0;AMARELO;BAIXA
05410317000110;-22,812618;-47,0761302;;;;0;;0;;INATIVA
12223579000130;-23,6698174;-46,5853564;;;;1;;0;AZUL;MEDIA
96617865000170;-22,6105462;-50,6671498;;;;0;;0;AZUL;MEDIA
08047579000150;-22,6606373;-50,404369;;;;0;1;0;AMARELO;MEDIA
09873296000120;-19,997465;-44,0423971;;;;0;;0;;INATIVA
08641806000170;-27,5969056;-48,5486711;;;;0;;0;;INATIVA
09214498000160;-23,4556501;-46,5659188;;;;0;;0;;INATIVA
12690066000130;-8,2849639;-35,9701874;;;;0;;0;AZUL;ALTA
07605227000100;-25,8335554;-52,7304154;;;;0;;0;;INATIVA
94409778000100;-30,0875704;-51,2356869;;;;0;;0;LARANJA;BAIXA
21081120000130;-19,3244066;-41,2513767;;;;0;;0;LARANJA;MEDIA
77687663000150;-23,5259717;-51,6790774;;2;1;1;;0;VERDE;ALTA
13103110000120;-23,6317575;-46,6913253;;;;1;;1;AMARELO;BAIXA
84630474000450;-11,6821425;-61,1765191;;;;0;;0;VERDE;MEDIA
37224847000160;-20,7683924;-54,5282522;;;;0;;0;LARANJA;BAIXA
11971190000100;-23,4383937;-46,7079522;;;;1;;1;AMARELO;MEDIA
07244034000170;-20,3058891;-40,2963769;;;;0;;0;AZUL;ALTA
12121605000110;-23,8888022;-47,9811739;;;;0;;0;VERDE;MEDIA
12708033000170;-29,8450304;-51,1373736;;;;1;;1;AMARELO;BAIXA
62955505281310;-19,8122294;-44,0050075;;;;0;;0;VERMELHO;MEDIA
21614193000140;-19,8868188;-43,924144;;;;0;;0;;INATIVA
05008116000190;-23,4778099;-46,6820484;;;;0;;0;LARANJA;BAIXA
07095151000110;-7,0136487;-42,1322099;;;;0;;0;LARANJA;MEDIA
15493137000100;-30,0956211;-51,2272425;;;;1;;1;VERDE;MEDIA
09253073000160;-23,657769;-46,693659;;;;1;;0;AZUL;MEDIA
05266699000150;-14,3354678;-40,9046493;;;;1;;0;AZUL;ALTA
05312857000160;-21,1839696;-47,7938219;;;;0;;0;;INATIVA
05421886000160;-22,7055965;-46,7693964;;;;0;;0;;INATIVA
42064295000100;-10,4546513;-40,1819714;;;;0;;0;;INATIVA
01893515000120;-24,0778289;-51,7418756;;;;0;;0;;INATIVA
15136062000100;-12,9726504;-38,4938111;;;;0;;0;;INATIVA
17184201078970;-19,2760428;-44,405245;;;;0;;0;;INATIVA
15136583000150;-12,9718268;-38,5129729;;;;0;;0;;INATIVA
15361199000150;-14,4040989;-56,4370932;;;;0;;0;;INATIVA
15608045000110;-10,9122056;-37,6708401;;;;0;;0;;INATIVA
07435464000170;-3,7271625;-38,5550863;;;;0;;0;;INATIVA
08180392000120;-13,0081176;-38,527092;;;;0;;0;;INATIVA
02265502000170;-16,7631914;-47,6075051;;;;0;;0;;INATIVA
04907539000180;-3,94904;-40,4736592;;;;0;;0;;INATIVA
12537293000120;-25,4876981;-49,3406071;;;;0;;0;;INATIVA
09437544000190;-20,4798635;-54,6215663;;;;0;;0;;INATIVA
10118122000130;-23,3362278;-46,8345215;;;;0;;0;;INATIVA
03814359000190;-21,1606727;-47,8024612;;;;0;;0;;INATIVA
61538567000100;-23,6093521;-46,5320263;;1;0;0;;0;;INATIVA
04966436000190;-7,844248;-35,3111011;;;;0;;0;;INATIVA
64624521000100;-22,6710153;-50,4381695;;;;0;;0;;INATIVA
77365765000150;-23,7661064;-53,3206105;;;;0;;0;;INATIVA
00326297000180;-26,1117326;-49,8065079;;;;0;;0;LARANJA;BAIXA
14644627000190;-23,6214512;-46,7888221;;;;1;;0;AMARELO;MEDIA
13629575000110;-16,6591068;-49,278129;;;;0;;0;VERDE;ALTA
15581916000150;-23,5948436;-46,4432643;;;;1;;1;AMARELO;MEDIA
03471229000100;-19,7896207;-42,1415419;;;;0;;0;AZUL;ALTA
06230514000110;-23,474187;-46,6693958;;;;1;;0;LARANJA;BAIXA
14894610000190;-25,7464549;-53,0615734;;;;1;;1;AZUL;MEDIA
05438357000170;-7,0190869;-37,9440765;;;;0;;0;AMARELO;MEDIA
13401477000120;-19,6213368;-44,0415215;;;;1;;0;VERDE;ALTA
72833999000160;-21,2254231;-50,8683504;;;;1;;0;VERDE;MEDIA
12481765000170;-22,6482084;-47,1886192;;;;1;;0;AZUL;MEDIA
11771732000100;-27,6619842;-48,501835;;;;0;;0;AZUL;MEDIA
10441320000130;-16,820257;-49,2473044;;2;0;1;;0;VERDE;ALTA
10850466000130;-27,5859254;-48,5471612;;;;0;;0;VERDE;ALTA
10480447000240;-21,28913;-50,34124;;;;1;;0;VERDE;ALTA
15697292000130;-16,328546;-48,953403;;;;0;;0;AZUL;MEDIA
15217444000150;-20,1451261;-44,8916447;;2;0;1;;0;AZUL;ALTA
15220854000150;-29,1557242;-51,1393047;;;;1;;1;AMARELO;MEDIA
15740742000120;-10,0776488;-37,0570297;;;;0;;0;AMARELO;MEDIA
08216974000380;-21,8967699;-49,3623695;;;;0;;0;VERDE;MEDIA
01995195000110;-23,6427249;-46,7134267;;;;0;;0;LARANJA;BAIXA
03391792000160;-18,8549317;-41,9559233;;;;0;;0;AZUL;ALTA
08457794000390;-22,7466667;-50,3880476;;;;0;;0;VERDE;MEDIA
14222846000180;-25,3695058;-51,4636864;;;;1;;0;VERDE;MEDIA
07669934000160;-23,5107859;-46,5360225;;;;0;;0;VERDE;INATIVA
06137179000100;-23,5438399;-46,6943593;;;;0;;0;AZUL;MEDIA
01387360000150;-25,435128;-49,2829662;;;;0;;0;VERDE;ALTA
09545298000190;-13,6063873;-42,9400663;;;;0;;0;AMARELO;MEDIA
40484867000850;-12,9141607;-38,336459;;;;0;;0;VERMELHO;MEDIA
48346043000150;-23,5334414;-49,2439031;;;;1;;0;VERDE;ALTA
13567044000140;-23,5688671;-46,7147589;;;;1;;0;VERDE;ALTA
13598884000170;-21,1830653;-47,8363908;;;;0;;0;VERDE;INATIVA
04056122000150;-12,9299892;-38,4924987;;;;0;;0;LARANJA;MEDIA
04841694000140;-12,9303016;-38,5120363;;;;0;;0;AMARELO;MEDIA
66508078000120;-24,0126477;-46,406233;;;;0;;0;VERDE;ALTA
11726294000150;-4,2238817;-38,7302215;;1;0;1;;0;VERDE;ALTA
11959342000150;-25,4135668;-51,4746181;;;;1;;1;AMARELO;BAIXA
34481390000180;-8,760919;-63,8962021;;;;0;;0;AZUL;ALTA
12555119000100;-27,8361769;-50,3106181;;;;1;;1;VERDE;MEDIA
07907566000140;-19,4204056;-44,2442282;;;;1;;0;AZUL;ALTA
01682355000170;-20,4855858;-54,6285346;;1;0;0;;0;LARANJA;BAIXA
08455770000130;-10,8234273;-42,724969;;1;0;0;;0;AZUL;ALTA
74034307000140;-22,7319933;-43,4554915;;;;0;;0;LARANJA;MEDIA
14672094000150;-23,6125469;-46,506455;;;;1;;1;AMARELO;MEDIA
02521644000150;-23,7177081;-46,5732203;;;;1;;0;VERMELHO;MEDIA
14133477000150;-14,4075968;-42,0724884;;;;1;;0;AZUL;ALTA
06021074000190;-25,4572615;-49,3034942;;;;0;;0;AZUL;MEDIA
07784989000110;-16,7473624;-43,8609503;;;;0;;0;AZUL;ALTA
14550570000160;-23,5379837;-46,3959428;;;;1;;1;AMARELO;MEDIA
14570622000160;-21,2915055;-50,3436312;;;;1;;0;AMARELO;MEDIA
01052752000240;-16,3596741;-48,9269257;;;;0;;0;VERDE;ALTA
09353200000100;-12,079662;-45,7988017;;;;1;;0;VERDE;ALTA
09102759000150;-23,305827;-45,9691692;;;;0;;0;AMARELO;BAIXA
09310725000150;-6,0686758;-49,9050556;;;;0;;0;VERDE;ALTA
08374337000170;-20,9475914;-50,1104467;;;;0;1;0;AMARELO;MEDIA
08225677000130;-21,1502253;-47,8020031;;1;0;1;;0;VERDE;ALTA
13865327000410;-23,5607191;-46,6926222;;;;1;;0;VERDE;MEDIA
15296818000170;-28,3212662;-49,0431687;;;;1;;1;VERDE;MEDIA
08402134000140;-21,7668575;-52,1096427;;;;0;;0;AMARELO;MEDIA
59121624000100;-23,5144575;-46,615003;;;;1;;0;VERDE;ALTA
92112333000120;-30,0722165;-51,0969571;;1;0;0;;0;AZUL;MEDIA
08661339000140;-22,9504707;-43,180611;;;;0;;0;;INATIVA
14577061000120;-22,3008094;-49,0942451;;1;0;1;;1;AMARELO;MEDIA
14797432000180;-23,5787839;-46,6709915;;;;0;;0;VERDE;ALTA
16700845000120;-9,6386866;-35,7414187;;;;0;;0;;INATIVA
14581505000100;-23,4613552;-46,6877888;;;;1;;1;AMARELO;BAIXA
15309170000120;-26,7684656;-48,6804184;;;;0;;0;AMARELO;BAIXA
14384803000100;-12,9767211;-38,4839218;;;;0;;0;VERDE;INATIVA
07104105000210;-21,7218513;-44,983291;;;;1;;0;VERDE;ALTA
15797920000150;-22,8305297;-43,323059;;;;1;;1;VERDE;MEDIA
89809099000180;-27,6365829;-52,2744942;;;;0;;0;;INATIVA
88740717000110;-30,0928313;-51,2441011;;;;0;;0;;INATIVA
88485743000140;-27,6298583;-52,2790545;;;;0;;0;;INATIVA
29190576000140;-22,8636192;-42,3336313;;;;0;;0;;INATIVA
51444594000160;-23,7535997;-46,8003458;;;;0;;0;;INATIVA
60124799000150;-23,256287;-45,9118653;;;;0;;0;;INATIVA
50962802000150;-22,7513369;-47,3316866;;;;0;;0;;INATIVA
56609704000110;-22,8218421;-47,0721005;;;;0;;0;;INATIVA
25278086000140;-21,7466113;-43,3639082;;;;0;;0;;INATIVA
31669633000110;-22,7492042;-43,4397718;;;;0;;0;;INATIVA
52817210000170;-21,6824831;-51,0741711;;;;0;;0;;INATIVA
29319787000130;-22,7375023;-43,4849393;;;;0;;0;;INATIVA
19304245000130;-22,229838;-45,9386684;;;;0;;0;;INATIVA
50109289000150;-22,7241818;-47,6468426;;;;0;;0;;INATIVA
54677331000190;-22,8867261;-47,0800755;;;;0;;0;;INATIVA
52070638000100;-23,4785556;-46,5967907;;;;0;;0;;INATIVA
55228365000160;-23,6936946;-46,5957633;;;;0;;0;;INATIVA
64797277000170;-23,5544169;-46,5293767;;;;0;;0;;INATIVA
68747245000200;-22,9976251;-43,3755839;;;;0;;0;;INATIVA
73497265000110;-29,2950409;-51,5008921;;;;0;;0;;INATIVA
67048348000120;-23,569844;-46,6333122;;;;0;;0;;INATIVA
76684166000640;-25,4790904;-49,2495992;;;;0;;0;;INATIVA
64069826000190;-23,5151496;-47,4822957;;;;0;;0;;INATIVA
72259583000180;-26,9126258;-49,1171157;;;;0;;0;;INATIVA
78677176000170;-25,8809275;-52,9081285;;;;0;;0;;INATIVA
71540447000100;-23,710495;-46,5393111;;;;0;;0;;INATIVA
40402109000170;-22,8760986;-42,0357349;;;;0;;0;;INATIVA
42967455000120;-19,8764889;-44,0107216;;;;0;;0;;INATIVA
44907251000120;-22,8399228;-45,254401;;;;0;;0;;INATIVA
44245108000110;-23,4739836;-46,6613101;;;;0;;0;;INATIVA
36902278000100;-10,88536;-51,638892;;;;0;;0;;INATIVA
33279563000110;-16,328546;-48,953403;;;;0;;0;;INATIVA
37274180000100;-16,6985314;-49,2559653;;;;0;;0;;INATIVA
43221084001330;-12,9583736;-38,5027362;;;;0;;0;;INATIVA
90613217000160;-29,6860406;-53,8019467;;;;0;;0;;INATIVA
93655918000150;-30,16273;-51,2284152;;;;0;;0;;INATIVA
87876496000140;-29,3344108;-49,723909;;;;0;;0;;INATIVA
89438311000140;-18,6759421;-41,9888198;;;;0;;0;;INATIVA
83704502000120;-27,2006894;-51,4099625;;;;0;;0;;INATIVA
94180098000150;-29,9034836;-50,2728046;;;;0;;0;;INATIVA
93817237000140;-29,9341421;-51,0726757;;;;0;;0;;INATIVA
96594700000120;-30,3387949;-54,3237449;;;;0;;0;;INATIVA
81797078000180;-28,7139392;-49,3019108;;;;0;;0;;INATIVA
94632130000190;-30,3891141;-56,455346;;;;0;;0;;INATIVA
91546036000120;-29,7213634;-52,4300137;;;;0;;0;;INATIVA
19645365000100;-19,4560781;-44,2520589;;;;0;;0;;INATIVA
52289014000170;-22,9746392;-49,86482;;;;0;;0;;INATIVA
30691836000140;-20,8573175;-41,1079944;;;;0;;0;;INATIVA
20555413000140;-16,7368647;-43,8652467;;;;0;;0;;INATIVA
20000204000130;-18,9171324;-48,2741864;;;;0;;0;;INATIVA
31170392000160;-22,8184555;-43,2796098;;;;0;;0;;INATIVA
27668193000100;-21,9912994;-42,9075598;;;;0;;0;;INATIVA
27357292000170;-19,9368278;-40,5983289;;;;0;;0;;INATIVA
32224826000120;-22,9130672;-43,1774784;;;;0;;0;;INATIVA
55614317000100;-23,6023785;-46,6696228;;;;0;;0;;INATIVA
61906053000160;-23,9762005;-46,3019789;;;;0;;0;;INATIVA
50986116000110;-23,5411054;-46,6314614;;;;0;;0;;INATIVA
27306927000100;-19,5180946;-40,6542834;;;;0;;0;;INATIVA
30441406000170;-22,4853005;-44,0813382;;;;0;;0;;INATIVA
59506311000170;-23,658744;-46,6510791;;;;0;;0;;INATIVA
61005500000100;-23,6341872;-46,6472135;;;;0;;0;;INATIVA
16294894000100;-14,7532122;-40,0897858;;1;0;1;;0;VERDE;ALTA
26528679000180;-15,6203842;-56,0857739;;;;0;;0;;INATIVA
61672473000120;-23,0561417;-47,8349201;;;;0;;0;;INATIVA
78993045000100;-27,1062354;-52,620441;;;;0;;0;;INATIVA
21106364000120;-19,9233112;-43,9245826;;;;0;;0;;INATIVA
53768289000150;-23,5075582;-46,5118066;;;;0;;0;;INATIVA
71196976000120;-22,2691578;-46,1640692;;;;0;;0;;INATIVA
77650638000100;-24,236505;-51,6683809;;;;0;;0;;INATIVA
79754792000140;-23,9105966;-50,5802112;;;;0;;0;;INATIVA
32431462000150;-19,5188333;-40,6446916;;;;0;;0;;INATIVA
73104580000130;-23,5801027;-48,0325621;;;;0;;0;;INATIVA
74081167000160;-25,477975;-49,2449071;;;;0;;0;;INATIVA
73131021000110;-23,6041129;-46,5611618;;;;0;;0;;INATIVA
80101264000170;-26,3103855;-48,8277554;;;;0;;0;;INATIVA
78744604000130;-25,4348457;-49,2772171;;;;0;;0;;INATIVA
71367874000120;-20,8742187;-42,973026;;;;0;;0;;INATIVA
76664895000120;-23,3044524;-51,1695824;;;;0;;0;;INATIVA
77480754000110;-24,2066425;-50,924438;;;;0;;0;;INATIVA
75814319000230;-27,0738808;-53,2493006;;;;0;;0;;INATIVA
41909805000130;-20,3001336;-42,4747054;;;;0;;0;;INATIVA
48763809000100;-23,6872868;-46,7022899;;;;0;;0;;INATIVA
38857462000100;-21,925107;-50,7406812;;;;0;;0;;INATIVA
43716505000160;-23,5443651;-46,6414802;;;;0;;0;;INATIVA
45533981000170;-22,4334658;-46,9566083;;;;0;;0;;INATIVA
53112561000300;-23,6563725;-47,2200581;;;;0;;0;VERDE;MEDIA
49464951000100;-23,6194969;-46,6480953;;;;0;;0;;INATIVA
41207010000180;-7,1191776;-34,8826593;;;;0;;0;;INATIVA
43325992000130;-23,6528133;-46,4923353;;;;0;;0;;INATIVA
32641367000180;-12,9730401;-38,502304;;;;0;;0;;INATIVA
34955781000190;-3,7561267;-38,546957;;;;0;;0;;INATIVA
36541985000100;-22,9260092;-43,2123842;;;;0;;0;;INATIVA
01756145000180;-23,547471;-46,9275157;;;;0;;0;;INATIVA
57325557000110;-21,488013;-51,5363783;;;;0;;0;;INATIVA
75814319000150;-27,0740008;-53,2500625;;;;0;;0;;INATIVA
07313662000160;-27,594979;-48,551728;;;;0;;0;;INATIVA
53278339000110;-22,8841808;-48,4441654;;;;0;;0;;INATIVA
26208694000140;-19,8406703;-44,6070529;;;;0;;0;;INATIVA
12496188000190;-9,3791223;-36,1597342;;;;0;;0;;INATIVA
54591094000140;-23,3870414;-48,7262178;;;;0;;0;;INATIVA
01433163000120;-23,1012119;-48,2616994;;;;0;;0;;INATIVA
01142967000170;-10,1777477;-48,8809067;;;;0;;0;;INATIVA
01712264000130;-16,5743478;-49,6940732;;;;0;;0;;INATIVA
02533201000180;-23,4524394;-46,4828577;;;;0;;0;;INATIVA
09790115000100;-26,2429228;-50,795168;;;;0;;0;;INATIVA
10436563000180;-9,9834251;-67,8065445;;;;0;;0;;INATIVA
12220507000130;-10,233297;-48,3264233;;;;1;;1;AMARELO;MEDIA
04904391000120;-23,5979582;-46,661274;;;;0;;0;LARANJA;BAIXA
03901079000110;-3,7823467;-38,5800252;;2;0;0;2;0;AZUL;ALTA
13876515000100;-1,3593738;-48,4028777;;;;1;;1;AMARELO;MEDIA
00516281000130;-7,5229754;-46,0336504;;;;0;;0;AZUL;MEDIA
14823970000100;-20,7548659;-42,8785788;;1;0;0;;0;AZUL;ALTA
17001237000190;-2,527453;-44,2550163;;;;0;;0;VERDE;ALTA
14045278000190;-15,8804735;-48,0199726;;;;0;;0;AZUL;ALTA
11769325000150;-24,3340741;-50,6554473;;;;0;;0;AZUL;INATIVA
13649275000100;-23,5546437;-46,515545;;;;1;;1;;INATIVA
15375030000150;-22,3123814;-48,5915581;;;;1;;1;AMARELO;MEDIA
14830545000130;-7,7143584;-66,9765208;;;;1;;1;AMARELO;MEDIA
15351613000140;-18,8667494;-41,9732357;;;;1;;1;AMARELO;MEDIA
15359272000150;-19,9540197;-44,1184353;;;;1;;0;AZUL;ALTA
09719436000100;-7,5841062;-40,5019729;;2;1;0;1;0;LARANJA;ALTA
13850287000190;-23,5275105;-46,8042892;;;;1;;1;AMARELO;MEDIA
14023390000120;-23,5465859;-46,6405827;;;;0;;0;AMARELO;MEDIA
00849004000300;-5,5047711;-45,2520016;;;;0;;0;VERDE;MEDIA
15971961000110;-11,8201782;-46,6236058;;;;0;;0;;INATIVA
13658549000110;-20,3433296;-40,3935511;;;;0;;0;AZUL;ALTA
14312252000160;-21,75025;-48,1618945;;;;1;;1;AMARELO;MEDIA
37564887000150;-21,255102;-52,0355549;;;;0;;0;AZUL;INATIVA
10500306000160;-23,5953645;-46,6479752;;;;0;2;0;AZUL;ALTA
03583686000260;-22,7544969;-47,6447326;;;;0;;0;VERDE;MEDIA
03619841000170;-18,902623;-48,2519507;;;;0;;0;;INATIVA
88656293000100;-27,3620684;-53,3978427;;;;0;;0;;INATIVA
01243305000430;-28,6592231;-56,0081974;;;;0;;0;VERMELHO;INATIVA
01786092000140;-15,9610185;-44,8579311;;;;0;;0;;INATIVA
03937322000150;-20,8391089;-41,156889;;;;0;;0;;INATIVA
00799074000130;-20,5248861;-47,4040493;;;;0;;0;AZUL;INATIVA
16849377000150;-21,3115279;-47,5642608;;;;1;;1;AMARELO;BAIXA
03734601013790;-8,0664805;-42,2877782;;;;0;;0;VERMELHO;BAIXA
14814432000140;-8,336385;-36,4173092;;;;1;;0;VERDE;ALTA
13871224000110;-15,5754036;-56,1000102;;;;1;;1;AMARELO;MEDIA
94064649000110;-29,1529531;-51,8596569;;;;0;1;0;VERMELHO;MEDIA
08360628000100;-19,8793309;-44,0232474;;;;0;;0;AZUL;ALTA
15156438000130;-7,1858818;-48,209071;;;;0;;0;AMARELO;MEDIA
15160571000160;-10,8079828;-55,4571289;;;;0;;0;AZUL;MEDIA
10357393000220;-19,3930805;-40,0670819;;;;0;;0;VERDE;MEDIA
08925731000150;-22,2293288;-54,8121751;;;;0;1;0;AZUL;MEDIA
16053467000130;-23,8392171;-46,1339912;;;;0;;0;;INATIVA
14737392000180;-17,3340784;-39,2250585;;;;1;;1;VERDE;ALTA
04569277000190;-23,5955076;-46,450417;;;;0;;0;;INATIVA
07921293000270;-3,8478597;-38,611727;;;;1;;0;VERDE;ALTA
10944008000160;-23,6433974;-46,5976786;;;;1;;0;VERDE;MEDIA
05582594000100;-8,0663018;-34,8819277;;;;0;;0;VERDE;INATIVA
01051495000140;-26,9063866;-49,0968304;;;;0;;0;VERDE;MEDIA
57269763000150;-21,6817079;-49,7407169;;;;0;;0;AZUL;ALTA
14452737000150;-27,5953778;-48,5480499;;1;0;1;;0;AZUL;ALTA
13335552000100;-10,947987;-37,045653;;;;0;;0;AZUL;ALTA
13878559000160;-20,7304489;-47,7528331;;;;1;;1;AMARELO;MEDIA
13941989000180;-16,7664647;-43,8626339;;;;1;;1;AMARELO;MEDIA
15182288000130;-24,7740823;-53,9023748;;;;1;;1;VERDE;MEDIA
15553446000110;-27,5883983;-48,5421754;;;;1;;1;VERDE;MEDIA
12164098000100;-22,9503292;-55,6265331;;;;1;;1;AMARELO;BAIXA
07081651000100;2,7688237;-60,72572;;;;0;;0;AZUL;ALTA
17283441000140;-19,8825589;-43,9791395;;;;0;1;0;AZUL;ALTA
07806565000100;-3,7043863;-38,5791784;;;;0;;0;VERDE;ALTA
11050679000140;-14,6603923;-40,4788747;;;;0;;0;AZUL;ALTA
13169734000140;-23,2107065;-46,8311254;;;;1;;1;AMARELO;BAIXA
15190246000140;-22,8097833;-43,0349971;;;;1;;1;AMARELO;MEDIA
16480744000190;-22,5314549;-43,2249532;;;;1;;1;AMARELO;INATIVA
14465596000100;-29,6306693;-52,1962817;;;;1;;1;VERDE;MEDIA
09331590000100;-21,6148283;-51,1716156;;;;0;;0;LARANJA;BAIXA
11306905000100;-1,2035534;-47,178546;;;;0;;0;AZUL;ALTA
15676707000190;-25,7808413;-53,3124157;;1;0;1;;0;AZUL;BAIXA
02300267000120;-12,1359946;-44,9880446;;;;0;;0;AZUL;MEDIA
81620106000190;-26,9268182;-48,9430069;;1;0;0;;0;VERDE;INATIVA
68035252000190;-22,925969;-47,057666;;;;0;;0;LARANJA;BAIXA
14753183000120;-21,9340017;-50,5195856;;;;0;;0;AMARELO;MEDIA
11185206000150;-15,801519;-47,860297;;;;0;;0;AZUL;ALTA
95035473000130;-32,0319414;-52,0996074;;;;0;;0;AMARELO;MEDIA
66351065000190;-19,9205817;-43,945275;;;;0;;0;LARANJA;ALTA
48792485000120;-23,5669899;-46,6136048;;;;0;;0;LARANJA;MEDIA
04617529000100;-23,554702;-46,349357;;;;0;;0;AMARELO;MEDIA
07037992000170;-23,0362024;-49,7045395;;;;1;;1;VERDE;ALTA
12783179000180;-24,3189285;-49,1442631;;;;1;;1;AMARELO;MEDIA
04355056000110;-3,7238197;-38,5175386;;;;0;;0;LARANJA;MEDIA
55492623000110;-23,5027819;-46,5278183;;;;1;;0;VERDE;ALTA
11117576000150;-15,801519;-47,860297;;;;1;;0;AZUL;INATIVA
11694319000180;-24,0309562;-46,5094784;;;;0;;0;AZUL;MEDIA
09568108000150;-0,7398782;-47,851888;;;;0;;0;AMARELO;MEDIA
00245285000120;-23,3974507;-47,0024503;;;;0;;0;AZUL;MEDIA
00739428000150;-23,4770379;-46,6715733;;;;0;;0;VERDE;ALTA
05953866000130;-18,5969035;-46,515103;;;;0;;0;LARANJA;MEDIA
16962677000140;-23,9480507;-46,3308416;;;;1;;0;VERDE;MEDIA
12563448000100;-8,0130541;-34,915064;;;;1;;0;AZUL;ALTA
00311129000110;-23,6333537;-46,7475325;;;;0;;0;;INATIVA
00686049000140;-13,7142488;-49,0148451;;;;0;;0;;INATIVA
00919682000130;-23,6150417;-46,5731398;;;;0;;0;;INATIVA
00539650000100;-15,801519;-47,860297;;;;0;;0;;INATIVA
00416580000100;-20,7627978;-41,5323939;;;;0;;0;;INATIVA
00686974000170;-23,702852;-46,7017213;;;;0;;0;;INATIVA
26826255000100;-19,3961716;-54,5710608;;;;0;;0;;INATIVA
22260475000150;-22,748659;-46,1352278;;;;0;;0;;INATIVA
07362228000170;-23,0908607;-46,9840984;;;;0;;0;;INATIVA
06276262000160;-18,915872;-48,2727474;;;;0;;0;;INATIVA
05487230000140;-8,0886233;-34,8803943;;;;0;;0;;INATIVA
06318371000100;-20,675824;-44,0619326;;;;0;;0;;INATIVA
