Ramo de Atividade;Divisões;(DIVISÃO - 2digitos CNAE);F4;F5;F6;F7
;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;52;;;;
;CORREIO E OUTRAS ATIVIDADES DE ENTREGA;53;;;;
Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;45;;;;
;COMÉRCIO VAREJISTA;47;;;;
Serviços de Saneamento Básico;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;36;;;;
;ESGOTO E ATIVIDADES RELACIONADAS;37;;;;
;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS";38;;;;
;DESCONTAMINAÇÃO E OUTROS SERVIÇOS DE GESTÃO DE RESÍDUOS;39;;;;
Serviços de Alojamento/Alimentação;ALOJAMENTO;55;;;;
;ALIMENTAÇÃO;56;;;;
Serviços Administrativos;ATIVIDADES IMOBILIÁRIAS;68;;;;
;ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS;77;;;;
;ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO;80;;;;
;SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO-DE-OBRA;78;;;;
;AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS;79;;;;
;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS;81;;;;
;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS;82;;;;
Serviços Profissionais e Técnicos;ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA;69;;;;
;ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL;70;;;;
;REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS;95;;;;
;"SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS";71;;;;
;PESQUISA E DESENVOLVIMENTO CIENTÍFICO;72;;;;
;PUBLICIDADE E PESQUISA DE MERCADO;73;;;;
;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;74;;;;
;ATIVIDADES VETERINÁRIAS;75;;;;
Serviços de Educação;EDUCAÇÃO;85;;;;
Serviços de Saúde;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;86;;;;
;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES;87;;;;
;SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO;88;;;;
Serviços Diversos;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTO;33;;;;
;ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS;90;;;;
;ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL;91;;;;
;ATIVIDADES DE EXPLORAÇÃO DE JOGOS DE AZAR E APOSTAS;92;;;;
;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER;93;;;;
;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;94;;;;
;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS;96;;;;
;SERVIÇOS DOMÉSTICOS;97;;;;
;ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITO;99;;;;
;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;84;;;;
