cd_cnpj;nu_ordem;cd_ramo_atividade;de_ramo_atividade
55055743000150;0~@~1~@~2;9430800~@~9493600~@~9499500;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE~@~ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS~@~ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE
11199599000150;0~@~1~@~2~@~3~@~4;5911102~@~5911199~@~5913800~@~7739099~@~8299799;ALUGUEL DE OUTRAS MAQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR~@~ATIVIDADES DE PRODUCAO CINEMATOGRAFICA, DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE~@~DISTRIBUICAO CINEMATOGRAFICA, DE VIDEO E DE PROGRAMAS DE TELEVISAO~@~OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE~@~PRODUCAO DE FILMES PARA PUBLICIDADE
09445384000120;0~@~1~@~2;4773300~@~4789099~@~9603304;COMERCIO VAREJISTA DE ARTIGOS MEDICOS E ORTOPEDICOS~@~COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE~@~SERVICOS DE FUNERARIAS
87301180000120;0;6920601;ATIVIDADES DE CONTABILIDADE
08739568000130;0;6822600;GESTAO E ADMINISTRACAO DA PROPRIEDADE IMOBILIARIA
04500550000120;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS
12810402000130;0~@~1;4744002~@~4744099;COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS~@~COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL
05410317000110;0;7112000;SERVICOS DE ENGENHARIA
12223579000130;0;8211300;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO
96617865000170;0;4729601;TABACARIA
08047579000150;0~@~1;0111302~@~0115600;CULTIVO DE MILHO~@~CULTIVO DE SOJA
12690066000130;0~@~1~@~2~@~3~@~4;4321500~@~4322301~@~4330404~@~4399103~@~6209100;INSTALACAO E MANUTENCAO ELETRICA~@~INSTALACOES HIDRAULICAS, SANITARIAS E DE GAS~@~OBRAS DE ALVENARIA~@~SERVICOS DE PINTURA DE EDIFICIOS EM GERAL~@~SUPORTE TECNICO, MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO
94409778000100;0;4729601;TABACARIA
21081120000130;0;6912500;CARTORIOS
77687663000150;0~@~1~@~2;3101200~@~4754701~@~4930201;COMERCIO VAREJISTA DE MOVEIS~@~FABRICACAO DE MOVEIS COM PREDOMINANCIA DE MADEIRA~@~TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL
13103110000120;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
84630474000450;0;4623109;COMERCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS
37224847000160;0~@~1~@~2;4649499~@~4669999~@~4689399;COMERCIO ATACADISTA DE OUTRAS MAQUINAS E EQUIPAMENTOS NAO ESPECIFICADOS ANTERIORMENTE, PARTES E PECAS~@~COMERCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE~@~COMERCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS INTERMEDIARIOS NAO ESPECIFICADOS ANTERIORMENTE
11971190000100;0;9602502;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA
07244034000170;0;6622300;CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREVIDENCIA COMPLEMENTAR E DE SAUDE
12121605000110;0~@~1;0119999~@~0132600;CULTIVO DE OUTRAS PLANTAS DE LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE~@~CULTIVO DE UVA
12708033000170;0~@~1~@~2;4520003~@~4530703~@~4530704;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES~@~COMERCIO A VAREJO DE PECAS E ACESSORIOS USADOS PARA VEICULOS AUTOMOTORES~@~SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES
62955505281310;0;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS
21614193000140;0~@~1~@~2~@~3~@~4;6399200~@~7410201~@~7490105~@~7490199~@~8299799;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS~@~DESIGN~@~OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE~@~OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE~@~OUTRAS ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE
05008116000190;0;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES
07095151000110;0;8512100;EDUCACAO INFANTIL  PREESCOLA
15493137000100;0;9529102;CHAVEIROS
09253073000160;0;1340599;OUTROS SERVICOS DE ACABAMENTO EM FIOS, TECIDOS, ARTEFATOS TEXTEIS E PECAS DO VESTUARIO
05266699000150;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
12537293000120;0~@~1;1412602~@~1521100;CONFECCAO, SOB MEDIDA, DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS~@~FABRICACAO DE ARTIGOS PARA VIAGEM, BOLSAS E SEMELHANTES DE QUALQUER MATERIAL
09437544000190;0~@~1;4751200~@~9511800;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA~@~REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS
00326297000180;0;4711301;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  HIPERMERCADOS
14644627000190;0;8211300;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO
13629575000110;0~@~1;4399101~@~8121400;ADMINISTRACAO DE OBRAS~@~LIMPEZA EM PREDIOS E EM DOMICILIOS
15581916000150;0;1352900;FABRICACAO DE ARTEFATOS DE TAPECARIA
03471229000100;0;4754701;COMERCIO VAREJISTA DE MOVEIS
06230514000110;0;4722901;COMERCIO VAREJISTA DE CARNES  ACOUGUES
14894610000190;0~@~1;4723700~@~5611203;COMERCIO VAREJISTA DE BEBIDAS~@~LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES
05438357000170;0;4754701;COMERCIO VAREJISTA DE MOVEIS
13401477000120;0~@~1~@~2~@~3~@~4;4751200~@~4761003~@~4789099~@~8219999~@~8299706;CASAS LOTERICAS~@~COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA~@~COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE~@~COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA~@~PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE
72833999000160;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
12481765000170;0~@~1~@~2~@~3~@~4;4729602~@~4729699~@~4761001~@~4762800~@~4772500;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL~@~COMERCIO VAREJISTA DE DISCOS, CDS, DVDS E FITAS~@~COMERCIO VAREJISTA DE LIVROS~@~COMERCIO VAREJISTA DE MERCADORIAS EM LOJAS DE CONVENIENCIA~@~COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE
11771732000100;0;4763602;COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS
10441320000130;0;1622602;FABRICACAO DE ESQUADRIAS DE MADEIRA E DE PECAS DE MADEIRA PARA INSTALACOES INDUSTRIAIS E COMERCIAIS
10850466000130;0~@~1~@~2~@~3;3321000~@~4614100~@~7112000~@~7119799;ATIVIDADES TECNICAS RELACIONADAS A ENGENHARIA E ARQUITETURA NAO ESPECIFICADAS ANTERIORMENTE~@~INSTALACAO DE MAQUINAS E EQUIPAMENTOS INDUSTRIAIS~@~REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MAQUINAS, EQUIPAMENTOS, EMBARCACOES E AERONAVES~@~SERVICOS DE ENGENHARIA
10480447000240;0~@~1~@~2;4755502~@~4781400~@~4782202;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO~@~COMERCIO VAREJISTA DE ARTIGOS DE VIAGEM~@~COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
15697292000130;0~@~1~@~2;4771704~@~4789004~@~9609208;COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO~@~COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS~@~HIGIENE E EMBELEZAMENTO DE ANIMAIS DOMESTICOS
15217444000150;0~@~1;1066000~@~4771704;COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS~@~FABRICACAO DE ALIMENTOS PARA ANIMAIS
15220854000150;0~@~1~@~2~@~3~@~4;1622699~@~4321500~@~4322301~@~4399103~@~8299707;FABRICACAO DE OUTROS ARTIGOS DE CARPINTARIA PARA CONSTRUCAO~@~INSTALACAO E MANUTENCAO ELETRICA~@~INSTALACOES HIDRAULICAS, SANITARIAS E DE GAS~@~OBRAS DE ALVENARIA~@~SALAS DE ACESSO A INTERNET
15740742000120;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS
08216974000380;0;0131800;CULTIVO DE LARANJA
01995195000110;0;4930201;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL
03391792000160;0~@~1~@~2~@~3~@~4;4921301~@~4921302~@~4922102~@~4924800~@~4930202;TRANSPORTE ESCOLAR~@~TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, COM ITINERARIO FIXO, INTERESTADUAL~@~TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, COM ITINERARIO FIXO, INTERMUNICIPAL EM REGIAO METROPOLITANA~@~TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, COM ITINERARIO FIXO, MUNICIPAL~@~TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
08457794000390;0~@~1;0111302~@~0115600;CULTIVO DE MILHO~@~CULTIVO DE SOJA
14222846000180;0~@~1;4763602~@~9313100;ATIVIDADES DE CONDICIONAMENTO FISICO~@~COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS
07669934000160;0;4617600;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PRODUTOS ALIMENTICIOS, BEBIDAS E FUMO
06137179000100;0~@~1~@~2~@~3~@~4;6399200~@~7410299~@~7490105~@~7490199~@~8299799;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS~@~ATIVIDADES DE DESIGN NAO ESPECIFICADAS ANTERIORMENTE~@~OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE~@~OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE~@~OUTRAS ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE
01387360000150;0;8112500;CONDOMINIOS PREDIAIS
09545298000190;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS
40484867000850;0;4711302;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  SUPERMERCADOS
48346043000150;0;4771701;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS
13567044000140;0;5611201;RESTAURANTES E SIMILARES
13598884000170;0;4754701;COMERCIO VAREJISTA DE MOVEIS
04056122000150;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
04841694000140;0;4511102;COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS USADOS
66508078000120;0;8112500;CONDOMINIOS PREDIAIS
11726294000150;0~@~1~@~2~@~3~@~4;4744001~@~4755502~@~4755503~@~4759899~@~4761003;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO~@~COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO~@~COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA~@~COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS~@~COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE
11959342000150;0~@~1;4755503~@~4759801;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO~@~COMERCIO VAREJISTA DE ARTIGOS DE TAPECARIA, CORTINAS E PERSIANAS
34481390000180;0;1351100;FABRICACAO DE ARTEFATOS TEXTEIS PARA USO DOMESTICO
12555119000100;0~@~1~@~2~@~3;4712100~@~4742300~@~4744003~@~4744099;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL~@~COMERCIO VAREJISTA DE MATERIAIS HIDRAULICOS~@~COMERCIO VAREJISTA DE MATERIAL ELETRICO~@~COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS
07907566000140;0~@~1~@~2~@~3~@~4;7312200~@~7319002~@~7319003~@~8220200~@~8230001;AGENCIAMENTO DE ESPACOS PARA PUBLICIDADE, EXCETO EM VEICULOS DE COMUNICACAO~@~ATIVIDADES DE TELEATENDIMENTO~@~MARKETING DIRETO~@~PROMOCAO DE VENDAS~@~SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS
01682355000170;0;4751200;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA
08455770000130;0;0810099;EXTRACAO E BRITAMENTO DE PEDRAS E OUTROS MATERIAIS PARA CONSTRUCAO E BENEFICIAMENTO ASSOCIADO
74034307000140;0~@~1~@~2;4322302~@~4751200~@~9521500;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA~@~INSTALACAO E MANUTENCAO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILACAO E REFRIGERACAO~@~REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO
14672094000150;0;1629302;FABRICACAO DE ARTEFATOS DIVERSOS DE CORTICA, BAMBU, PALHA, VIME E OUTROS MATERIAIS TRANCADOS, EXCETO MOVEIS
02521644000150;0;4741500;COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA
14133477000150;0~@~1;4923001~@~5229001;SERVICO DE TAXI~@~SERVICOS DE APOIO AO TRANSPORTE POR TAXI, INCLUSIVE CENTRAIS DE CHAMADA
06021074000190;0;4511102;COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS USADOS
07784989000110;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS
14550570000160;0;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES
14570622000160;0;8291100;ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS
01052752000240;0;8599601;FORMACAO DE CONDUTORES
09353200000100;0~@~1~@~2;4774100~@~4783101~@~4783102;COMERCIO VAREJISTA DE ARTIGOS DE JOALHERIA~@~COMERCIO VAREJISTA DE ARTIGOS DE OPTICA~@~COMERCIO VAREJISTA DE ARTIGOS DE RELOJOARIA
09102759000150;0;4782201;COMERCIO VAREJISTA DE CALCADOS
09310725000150;0~@~1;3250706~@~8630504;ATIVIDADE ODONTOLOGICA~@~SERVICOS DE PROTESE DENTARIA
08374337000170;0~@~1;0113000~@~0151201;CRIACAO DE BOVINOS PARA CORTE~@~CULTIVO DE CANADEACUCAR
08225677000130;0~@~1;4330401~@~4744005;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE~@~IMPERMEABILIZACAO EM OBRAS DE ENGENHARIA CIVIL
13865327000410;0;5611201;RESTAURANTES E SIMILARES
15296818000170;0~@~1;1351100~@~4755503;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO~@~FABRICACAO DE ARTEFATOS TEXTEIS PARA USO DOMESTICO
08402134000140;0;0151201;CRIACAO DE BOVINOS PARA CORTE
59121624000100;0~@~1;3329501~@~4754701;COMERCIO VAREJISTA DE MOVEIS~@~SERVICOS DE MONTAGEM DE MOVEIS DE QUALQUER MATERIAL
92112333000120;0~@~1~@~2;4744002~@~4759801~@~5223100;COMERCIO VAREJISTA DE ARTIGOS DE TAPECARIA, CORTINAS E PERSIANAS~@~COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS~@~ESTACIONAMENTO DE VEICULOS
08661339000140;0;6470101;FUNDOS DE INVESTIMENTO, EXCETO PREVIDENCIARIOS E IMOBILIARIOS
14577061000120;0;8130300;ATIVIDADES PAISAGISTICAS
14797432000180;0~@~1~@~2;3511502~@~6463800~@~6630400;ATIVIDADES DE ADMINISTRACAO DE FUNDOS POR CONTRATO OU COMISSAO~@~ATIVIDADES DE COORDENACAO E CONTROLE DA OPERACAO DA GERACAO E TRANSMISSAO DE ENERGIA ELETRICA~@~OUTRAS SOCIEDADES DE PARTICIPACAO, EXCETO HOLDINGS
16700845000120;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS
14581505000100;0;4789001;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS
15309170000120;0~@~1;1020101~@~4634603;COMERCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR~@~PRESERVACAO DE PEIXES, CRUSTACEOS E MOLUSCOS
14384803000100;0;4924800;TRANSPORTE ESCOLAR
07104105000210;0;8599601;FORMACAO DE CONDUTORES
15797920000150;0~@~1~@~2~@~3;1091102~@~3299099~@~5620104~@~8230001;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA~@~FABRICACAO DE PRODUTOS DIVERSOS NAO ESPECIFICADOS ANTERIORMENTE~@~FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR~@~SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS
16294894000100;0~@~1~@~2~@~3;4530703~@~4744099~@~4751200~@~4759899;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES~@~COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL~@~COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE~@~COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA
