cd_cnpj;fl_matriz;dt_abertura;nm_razao_social;cd_natureza_juridica;de_natureza_juridica;nm_logradouro;nu_logradouro;cd_cep;nm_bairro;nm_municipio;sg_uf;de_situacao;de_classif_natureza_juridica
05610297000120;1;4/24/2003;RECANTO DA MODA CALCADOS E CONFECCOES LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA ESTADO;623;75074590;RECANTO DO SOL;ANAPOLIS;GO;BAIXADA;PRIVADO
15044857000180;1;2/14/2012;MARIA GILVANIA DE AQUINO MEI;2135;EMPRESARIO INDIVIDUAL;RUA ANTONIO CHICALHONE;218;13290000;JARDIM LAGO AZUL SANTO ANTONIO;LOUVEIRA;SP;ATIVA;PRIVADO
15028623000140;1;2/9/2012;DEBORA PINHEIRO DA SILVA MEI;2135;EMPRESARIO INDIVIDUAL;RUA AMANARU;152;21031590;RAMOS;RIO DE JANEIRO;RJ;ATIVA;PRIVADO
07297742000170;1;2/14/2005;MAURO ODELLI ME;2135;EMPRESARIO INDIVIDUAL;ESTRADA VARGEM GRANDE;115;89135000;VARGEM GRANDE;APIUNA;SC;ATIVA;PRIVADO
15291845000150;1;3/29/2012;COMERCIO FASHION BIJU LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA EXPEDITO GARCIA;104;29146200;CAMPO GRANDE;CARIACICA;ES;ATIVA;PRIVADO
15090404000190;1;2/24/2012;CONFECCOES BG LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA HARROLD LAFFIN;208;89108000;GUARANI MIRIM;MASSARANDUBA;SC;ATIVA;PRIVADO
90400888251650;0;5/28/2010;BANCO SANTANDER BRASIL SA;2046;SOCIEDADE ANONIMA ABERTA;RUA BATISTA RAFFI;803;13068601;JARDIM APARECIDA;CAMPINAS;SP;ATIVA;PRIVADO
12254288000100;1;7/19/2010;CASA DO GOL LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA DOM PEDRO II;3180;30720460;CAICARAS;BELO HORIZONTE;MG;ATIVA;PRIVADO
04226709000160;1;1/5/2001;COMERCIAL M&M YAMASHITA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA DOUTOR GASTAO VIDIGAL CEAGESP;1946;05314000;VILA LEOPOLDINA;SAO PAULO;SP;ATIVA;PRIVADO
16679748000100;1;11/14/1973;GRUPO CIENTIFICO RAMATIS;3999;ASSOCIACAO PRIVADA;PRACA RAMATIS;161;31230000;PARQUE RIACHUELO;BELO HORIZONTE;MG;ATIVA;PRIVADO
07793444000170;1;1/6/2006;KAUS & KAUS LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA ANTONIO SANGOI NETO;156;97035090;JUSCELINO KUBITSCHEK;SANTA MARIA;RS;ATIVA;PRIVADO
03220549000180;1;6/15/1999;ROMERIO RODRIGUES LEITE ME;2135;EMPRESARIO INDIVIDUAL;RUA DO COMERCIO;102;63190000;ARAPORANGA;SANTANA DO CARIRI;CE;ATIVA;PRIVADO
01687525000100;1;2/12/1996;ASSOCIACAO DE PRESTACAO DE SERVICOS REAL;3999;ASSOCIACAO PRIVADA;LOCALIDADE BELA VISTA DO SUL;SN;89300000;BELA VISTA SUL;MAFRA;SC;ATIVA;PRIVADO
11772974000100;1;4/6/2010;G MARIA DE AMORIM ME;2135;EMPRESARIO INDIVIDUAL;RUA JOAO SABINO ANDRADE;70A;55602005;MATRIZ;VITORIA DE SANTO ANTAO;PE;ATIVA;PRIVADO
05850538000290;0;6/30/2009;TECOPY COPIADORA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA CASA DO ATOR;275;04546004;VILA OLIMPIA;SAO PAULO;SP;ATIVA;PRIVADO
86396371000150;1;3/21/1994;LIVRARIA DA SE INDUSTRIA E COMERCIO LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA AFONSO PENA;1825;38400706;APARECIDA;UBERLANDIA;MG;ATIVA;PRIVADO
52792652000100;1;8/11/1983;CONTINENTAL CIRCUS MOTOCICLETAS LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA LUCIANINHO MELLI;42;06080010;VILA NOVA OSASCO;OSASCO;SP;ATIVA;PRIVADO
15818386000110;1;6/29/2012;ELEICAO 2012 COMITE FINANCEIRO SP PARA VEREADOR PT MENDONCA;3999;ASSOCIACAO PRIVADA;RUA ANGELO PETRONINI;478;15220000;CENTRO;MENDONCA;SP;BAIXADA;PRIVADO
01498181000190;1;10/16/1996;COMERCIAL DE PNEUS WENDT LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA MAJOR ANTONIO T CARDOSO;223;97970000;CENTRO;ROQUE GONZALES;RS;ATIVA;PRIVADO
80495856000700;0;3/24/1988;RPS FOTOGRAFIAS LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA PRINCESA ISABEL;238;89211595;CENTRO;JOINVILLE;SC;ATIVA;PRIVADO
02186486000120;1;9/30/1997;MOACIR LUIZ DA SILVA VARGAS ME;2135;EMPRESARIO INDIVIDUAL;ESTRADA GERAL DO MORRO AGUDO;305;94090120;ITACOLOMI;GRAVATAI;RS;ATIVA;PRIVADO
65070146000230;0;5/20/1997;BAR E LANCHONETE PAYSAGE LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA GAMA CERQUEIRA;323;01539010;CAMBUCI;SAO PAULO;SP;ATIVA;PRIVADO
02053352000130;1;8/11/1997;AGILIS MOTOCICLE LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA POMPILHO GUIMARAES;171;36700000;FABRICA;LEOPOLDINA;MG;ATIVA;PRIVADO
06319255001170;0;2/20/1975;PG DOIS AGRICOLA COMERCIAL LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;LOCALIDADE VILA FATIMA;SN;89638000;INTERIOR;VARGEM;SC;ATIVA;PRIVADO
10886199000150;1;4/30/2009;VALFRE SOCIEDADE INDIVIDUAL DE ADVOCACIA EIRELI;2313;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA SIMPLES;RUA PROFESSOR ALMEIDA COUSIN;125;29050565;ENSEADA DO SUA;VITORIA;ES;ATIVA;PRIVADO
12019359000190;1;5/25/2010;PUNHO FORTE PRESTADORA DE SERVIOS LTDA ME;2240;SOCIEDADE SIMPLES LIMITADA;RUA MARECHAL SEREJO;133;22743380;FREGUESIA JACAREPAGUA;RIO DE JANEIRO;RJ;ATIVA;PRIVADO
06216178000150;1;3/31/2004;CONSTRUTORA E PAVIMENTACAO LAGO DOURADO LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;LOCALIDADE DE LINHA PROGRESSO;SN;85892000;CENTRO;SANTA HELENA;PR;ATIVA;PRIVADO
12459122000120;1;8/30/2010;RICARDO JOSE DA ROCHA MEI;2135;EMPRESARIO INDIVIDUAL;RUA MIGUEL GLINKA;;24716072;JARDIM CATARINA;SAO GONCALO;RJ;ATIVA;PRIVADO
10532571000120;1;12/12/2008;SAULO FERNANDO GATO SCRIBONI;4120;PRODUTOR RURAL PESSOA FISICA;VIA DE COSMORAMA A AMERICO DE CAMPOS;SN;15530000;ZONA RURAL;COSMORAMA;SP;ATIVA;PRIVADO
11163415000100;1;8/25/2009;INSTITUTO JULIO ARA DE ASSISTENCIA MEDICA LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA JOSE BONIFACIO;180;13560160;CENTRO;SAO CARLOS;SP;ATIVA;PRIVADO
20963351002230;0;8/16/1978;DIOCESE DE ITABIRA;3220;ORGANIZACAO RELIGIOSA;RUA JOSE HILARIO;SN;35900202;VILA PIEDADE;ITABIRA;MG;ATIVA;PRIVADO
55055743000150;1;3/30/1988;CONDOMINIO ABC SHOPPING CENTER;3999;ASSOCIACAO PRIVADA;AVENIDA BARAO DE MAUA;50;09726000;CHACARA INGLESA;SAO BERNARDO DO CAMPO;SP;ATIVA;PRIVADO
11199599000150;1;9/21/2009;LUSCO FUSCO FILMES EPP LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA EUSEBIO MATOSO;690;05423000;PINHEIROS;SAO PAULO;SP;ATIVA;PRIVADO
09445384000120;1;3/13/2008;S DE SENA FERREIRA ME;2135;EMPRESARIO INDIVIDUAL;RUA ANGELO VARELA;9;59507000;CENTRO;ALTO DO RODRIGUES;RN;ATIVA;PRIVADO
87301180000120;1;1/9/1973;ELIAR HOFSTATTER ME;2135;EMPRESARIO INDIVIDUAL;AVENIDA SENADOR ALBERTO PASQUALINI;193;95900034;CENTRO;LAJEADO;RS;ATIVA;PRIVADO
08739568000130;1;2/23/2007;PA ADMINISTRADORA DE BENS E PARTICIPACOES LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA JOSE ALVES DOS SANTOS FILHO;SN;48370000;CENTRO;ESPLANADA;BA;ATIVA;PRIVADO
04500550000120;1;6/7/2001;O F DE OLIVEIRA ME;2135;EMPRESARIO INDIVIDUAL;RUA OLAVO BILAC;1;77890000;CENTRO;ANANAS;TO;ATIVA;PRIVADO
12810402000130;1;10/26/2010;SILVANI PRATES DOS SANTOS ME;2135;EMPRESARIO INDIVIDUAL;RUA EGEO BENTO FRATICCELI;311;06550000;JARDIM BOM JESUS;PIRAPORA DO BOM JESUS;SP;ATIVA;PRIVADO
05410317000110;1;11/28/2002;HYDROLAB ENGENHARIA E CONSULTORIA ME SS;2232;SOCIEDADE SIMPLES PURA;RUA ROXO MOREIRA;76;13083590;CIDADE UNIVERSITARIA;CAMPINAS;SP;BAIXADA;PRIVADO
12223579000130;1;6/11/2010;WORK TAX SOLUCAO EMPRESARIAL LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA PINHEIROS;72;09692020;PAULICEIA;SAO BERNARDO DO CAMPO;SP;ATIVA;PRIVADO
96617865000170;1;5/3/1993;TOSHIO TATSUMI MARACAI ME;2135;EMPRESARIO INDIVIDUAL;AVENIDA SAO PAULO;503;19840000;CENTRO;MARACAI;SP;ATIVA;PRIVADO
08047579000150;1;6/5/2006;ILSA ALICE MULLER OLIVEIRA;4120;PRODUTOR RURAL PESSOA FISICA;FAZENDA SAO JOSE;SN;19804355;AGUA DO MELCHIOR;ASSIS;SP;ATIVA;PRIVADO
09873296000120;1;7/8/2008;ELEICAO 2008 JOAO BATISTA SILVA DE SOUZA VEREADOR;4090;CANDIDATO A CARGO POLITICO ELETIVO;RUA A;663;31360390;CONJUNTO CONFISCO;BELO HORIZONTE;MG;BAIXADA;PRIVADO
08641806000170;1;2/7/2007;AFM MODALIDADE LOTERICA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA DOS ILHEUS;10;88010560;CENTRO;FLORIANOPOLIS;SC;BAIXADA;PRIVADO
09214498000160;1;11/6/2007;O BARISTA CAFE LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA TREZE DE MAIO;200;07071050;VILA GALVAO;GUARULHOS;SP;BAIXADA;PRIVADO
12690066000130;1;10/6/2010;CLAUDENOR LEMOS DOS SANTOS & CIA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;SITIO MURICI;16;55000000;MURICI;CARUARU;PE;ATIVA;PRIVADO
07605227000100;1;9/19/2005;MARVELISE MULER DE OLIVEIRA & CIA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA GETULIO VARGAS;1268;85570000;CENTRO;SAO JOAO;PR;BAIXADA;PRIVADO
94409778000100;1;1/2/1992;O WEHRMANN E CIA LTDA M E ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA JAGUARI;723;90820180;SANTA TEREZA;PORTO ALEGRE;RS;ATIVA;PRIVADO
21081120000130;1;2/5/1981;CARTORIO DO REGISTRO CIVIL DE NICOLANDIA;3034;SERVICO NOTARIAL E REGISTRAL CARTORIO;RUA JOSE NICOLINI;8;35235000;NICOLANDIA;RESPLENDOR;MG;ATIVA;PRIVADO
77687663000150;1;10/31/1983;ARTECLASSE ESTOFADOS EIRELI;2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;RODOVIA BR 376;3475;86975000;PARQUE INDUSTRIAL;MANDAGUARI;PR;ATIVA;PRIVADO
13103110000120;1;1/13/2011;MARINETE SILVA PEREIRA MEI;2135;EMPRESARIO INDIVIDUAL;AVENIDA ADOLFO PINHEIRO;3520;04734003;SANTO AMARO;SAO PAULO;SP;ATIVA;PRIVADO
84630474000450;0;3/29/1994;L M L EXPORTACAO DE CAFE LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA F A;150;76970000;SAO FILIPE;PIMENTA BUENO;RO;ATIVA;PRIVADO
37224847000160;1;9/11/1992;AREEIRO COSME & DAMIAO LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RODOVIA BR 163;SN;79440000;ZONA RURAL;JARAGUARI;MS;ATIVA;PRIVADO
11971190000100;1;5/20/2010;SILVANIRA PEREIRA NAZARE MEI;2135;EMPRESARIO INDIVIDUAL;RUA SAPOPEMBA;14B;02859140;JARDIM VITORIA REGIA ZONA NORTE;SAO PAULO;SP;ATIVA;PRIVADO
07244034000170;1;2/3/2005;CABALA ADMINISTRADORA E CORRETORA DE SEGUROS LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA DA PENHA;570;29055131;PRAIA DO CANTO;VITORIA;ES;ATIVA;PRIVADO
12121605000110;1;6/21/2010;NADIR RODOLFO DE JESUS TOLEDO E OUTRA;4120;PRODUTOR RURAL PESSOA FISICA;SITIO SAO JOSE;SN;18230000;BOA VISTA;SAO MIGUEL ARCANJO;SP;ATIVA;PRIVADO
12708033000170;1;10/21/2010;JORGE SOARES DE OLIVEIRA MEI;2135;EMPRESARIO INDIVIDUAL;AVENIDA JOAO PEREIRA DE VARGAS;2884;93230210;NOVA SAPUCAIA;SAPUCAIA DO SUL;RS;ATIVA;PRIVADO
62955505281310;0;11/22/1988;IGREJA DO EVANGELHO QUADRANGULAR;3220;ORGANIZACAO RELIGIOSA;RUA RADIALISTA M SOBRINHO;95;30001970;CEU AZUL II;BELO HORIZONTE;MG;ATIVA;PRIVADO
21614193000140;1;12/13/1985;GARFIG REPRESENTACOES LTDA ME;2240;SOCIEDADE SIMPLES LIMITADA;RUA CARDEAL STEPINAC;592;31170220;CIDADE NOVA;BELO HORIZONTE;MG;BAIXADA;PRIVADO
05008116000190;1;11/22/2001;BIG ESFIHA EXPRESS FREGUESIA DO O LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA ITABERABA;3623;02739000;VILA MARACANA;SAO PAULO;SP;ATIVA;PRIVADO
07095151000110;1;4/13/1983;SOCIEDADE EDUCACIONAL JEAN PIAGET LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA CORONEL MUNDICO SA;222;64500000;CENTRO;OEIRAS;PI;ATIVA;PRIVADO
15493137000100;1;5/8/2012;RICARDO PIRES LEAL MEI;2135;EMPRESARIO INDIVIDUAL;RUA DONA ZULMIRA;498;90830240;CAVALHADA;PORTO ALEGRE;RS;ATIVA;PRIVADO
09253073000160;1;11/14/2007;RENATA FERREIRA DA SILVA VESTUARIO ME;2135;EMPRESARIO INDIVIDUAL;RUA ALVARES AZEVEDO;190;04671040;VILA SOFIA;SAO PAULO;SP;ATIVA;PRIVADO
05266699000150;1;8/26/2002;VALDIVIA ROSA DOS SANTOS LIMA ME;2135;EMPRESARIO INDIVIDUAL;RUA LUIZ VIANA;5;45265000;CENTRO;CAETANOS;BA;ATIVA;PRIVADO
05312857000160;1;9/11/2002;BRONZE DESIGN COMERCIO DE PECAS PARA DECORACAO LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA GUARUJA;1;14090283;JARDIM PAULISTANO;RIBEIRAO PRETO;SP;BAIXADA;PRIVADO
05421886000160;1;12/3/2002;BISSOTO & DARIOLI MINIMERCADO LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA BERNARDINO DE CAMPOS;12;13900400;CENTRO;AMPARO;SP;BAIXADA;PRIVADO
42064295000100;1;11/18/1992;AUTO LOCADORA TRANS REI LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA JOAO DURVAL CARNEIRO;SN;48970000;RODOVIARIO;SENHOR DO BONFIM;BA;BAIXADA;PRIVADO
01893515000120;1;5/27/1997;VITOR A RODRIGUES GAS;2135;EMPRESARIO INDIVIDUAL;RUA SAOA PAULO;220;86935000;CENTRO;LUNARDELLI;PR;BAIXADA;PRIVADO
15136062000100;1;9/23/1986;INSTITUTO DE ENSINO E ASSISTENCIA TECNICA ELETRONICA LT;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA DOS BANDEIRANTES;125;40260120;MATATU DE BROTAS;SALVADOR;BA;BAIXADA;PRIVADO
17184201078970;0;6/20/1986;TELECOMUNICACOES DE MINAS GERAIS SA TELEMIG;2038;SOCIEDADE DE ECONOMIA MISTA;RUA QUINTINO MOREIRA;12;35774000;;PARAOPEBA;MG;BAIXADA;MISTA
15136583000150;1;12/31/1965;ARTUR WATT IRMAO CIA LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA MIGUEL CALMON;63;40015010;COMERCIO;SALVADOR;BA;BAIXADA;PRIVADO
15361199000150;1;10/4/1982;MAMORE AUTO POSTO LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RODOVIA MT 308;SN;78400000;ZONA RURAL;DIAMANTINO;MT;BAIXADA;PRIVADO
15608045000110;1;1/11/1983;FERNANDES & FILHOS LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA PRESIDENTE KENNEDY;409;49400000;SEDE;LAGARTO;SE;BAIXADA;PRIVADO
07435464000170;1;5/30/1984;LUIZ HIPOLITO DOS SANTOS ME;2135;EMPRESARIO INDIVIDUAL;RUA ODETTE PACHECO;184;60325580;SAO GERARDO;FORTALEZA;CE;BAIXADA;PRIVADO
08180392000120;1;7/26/2006;GIOVANNI CIRACI ME;2135;EMPRESARIO INDIVIDUAL;RUA AFONSO CELSO;561;40140080;CENTRO;SALVADOR;BA;BAIXADA;PRIVADO
02265502000170;1;10/10/1977;ILDEU DOS SANTOS ABBADIA;2135;EMPRESARIO INDIVIDUAL;RUA MINAS GERAIS;SN;73850000;CENTRO;CRISTALINA;GO;BAIXADA;PRIVADO
04907539000180;1;2/18/2002;F DE ASSIS MELO ME;2135;EMPRESARIO INDIVIDUAL;RUA DA BANDEIRA;52;62184000;CENTRO;CARIRE;CE;BAIXADA;PRIVADO
12537293000120;1;9/16/2010;GERALDO SIMIAO AZEVEDO ME;2135;EMPRESARIO INDIVIDUAL;RUA RICARDO EMILIO MICHEL;66;81250610;CIDADE INDUSTRIAL;CURITIBA;PR;BAIXADA;PRIVADO
09437544000190;1;3/24/2008;H D INFORMATICA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA DAS BANDEIRAS;806;79081310;JARDIM NHANHA;CAMPO GRANDE;MS;BAIXADA;PRIVADO
10118122000130;1;7/12/2008;ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR SP PSDC;3999;ASSOCIACAO PRIVADA;AVENIDA ANTONIETA PASQUARELLI PENTEADO;170;07786515;ALTOS DE JORDANESIA;CAJAMAR;SP;BAIXADA;PRIVADO
03814359000190;1;5/11/2000;ITIBAN CONTABILIDADE LTDA ME SC;2240;SOCIEDADE SIMPLES LIMITADA;RUA JOAO CLAPP;542;14080350;CAMPOS ELISEOS;RIBEIRAO PRETO;SP;BAIXADA;PRIVADO
61538567000100;1;9/21/1989;COPERNOX INOXIDAVEIS LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA ANAI;33;03253040;VILA INDUSTRIAL;SAO PAULO;SP;BAIXADA;PRIVADO
04966436000190;1;3/25/2002;J DE OLIVEIRA MUNIZ PANIFICADORA ME;2135;EMPRESARIO INDIVIDUAL;PRACA DA SOLEDADE;53;55820000;CENTRO;LAGOA DO CARRO;PE;BAIXADA;PRIVADO
64624521000100;1;10/2/1990;ARTHUR PEDRO FERREIRA ASSIS;2135;EMPRESARIO INDIVIDUAL;AVENIDA VEREADOR D PASSARINHO;1013;19807155;VL PRUDENCIANA;ASSIS;SP;BAIXADA;PRIVADO
77365765000150;1;6/20/1977;ACCACIO MOSCARDI;2135;EMPRESARIO INDIVIDUAL;AVENIDA PRINCIPAL;SN;87504616;SERRA DOS DOURADOS;UMUARAMA;PR;BAIXADA;PRIVADO
00326297000180;1;11/30/1994;MARCI VICENTE PSCHEIDT ME;2135;EMPRESARIO INDIVIDUAL;RUA VITORINO BACELAR;223;89300000;CENTRO;MAFRA;SC;ATIVA;PRIVADO
14644627000190;1;10/13/2011;FRANCISCO ANTONIO CORREA DE APOIO ESCRITORIO ME;2135;EMPRESARIO INDIVIDUAL;ESTRADA BENEDITO CESARIO DE OLIVEIRA;588;06767280;VILA IASI;TABOAO DA SERRA;SP;ATIVA;PRIVADO
13629575000110;1;5/2/2011;MARLENE ALVES DE FREITAS ME;2135;EMPRESARIO INDIVIDUAL;RUA 6;SN;74633400;VILA OSVALDO ROSA;GOIANIA;GO;ATIVA;PRIVADO
15581916000150;1;5/23/2012;CLAUDENIR MANOEL DE ARAUJO MEI;2135;EMPRESARIO INDIVIDUAL;RUA CUSTODIO NASCIMENTO;20;08380059;JARDIM ROSELI;SAO PAULO;SP;ATIVA;PRIVADO
03471229000100;1;10/26/1999;MOVEIS PORTUGUES LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;TRECHO PORTUGUES;39;35300068;CENTRO;CARATINGA;MG;ATIVA;PRIVADO
06230514000110;1;4/23/2004;MERCADAO DE CARNES CACHOEIRINHA LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA ITABERABA;5107;02739000;VILA N CACHOEIRINHA;SAO PAULO;SP;ATIVA;PRIVADO
14894610000190;1;1/17/2012;JOSIAS ALVES DE CAMPOS MEI;2135;EMPRESARIO INDIVIDUAL;RUA DEDI BARICHELLO MONTAGNER;SN;85660000;CENTRO NORTE;DOIS VIZINHOS;PR;ATIVA;PRIVADO
05438357000170;1;12/2/2002;IOLANDA CIRINO ME;2135;EMPRESARIO INDIVIDUAL;RUA GETULIO VARGAS;SN;58770000;CENTRO;COREMAS;PB;ATIVA;PRIVADO
13401477000120;1;3/21/2011;LAGOA LOTERIAS LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA COMENDADOR ANTONIO ALVES;704;33600970;CENTRO;PEDRO LEOPOLDO;MG;ATIVA;PRIVADO
72833999000160;1;8/25/1966;MICHEL GEORGES MICHAELIDES ME;2135;EMPRESARIO INDIVIDUAL;RUA XV DE NOVEMBRO;51;16880000;CENTRO;VALPARAISO;SP;ATIVA;PRIVADO
12481765000170;1;8/31/2010;GCR COMERCIO DE MERCADORIAS EM GERAL LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;AVENIDA DA SAUDADE;32;13150000;CHACARA HORIZONTE;COSMOPOLIS;SP;ATIVA;PRIVADO
11771732000100;1;4/5/2010;ILHA COMERCIO DE ARTIGOS DE SURF LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RODOVIA SC 405;112;88065000;CAMPECHE;FLORIANOPOLIS;SC;ATIVA;PRIVADO
10441320000130;1;10/30/2008;PORTAS PRONTAS BARRETO LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA DO RUSSEL;SN;74942470;JARDIM BURITI SERENO;APARECIDA DE GOIANIA;GO;ATIVA;PRIVADO
10850466000130;1;5/14/2009;SG PROJETOS LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA ALVES DE BRITO;141;88015440;CENTRO;FLORIANOPOLIS;SC;ATIVA;PRIVADO
10480447000240;0;2/1/2012;A R L DE SOUZA ROUPAS ME;2135;EMPRESARIO INDIVIDUAL;PRACA DOUTOR GAMA;476;16200003;CENTRO;BIRIGUI;SP;ATIVA;PRIVADO
15697292000130;1;6/1/2012;PET CAO PRODUTOS VETERINARIOS LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA ALEIXO RODRIGUES DE QUEIROZ;840;75115010;VILA INDUSTRIAL;ANAPOLIS;GO;ATIVA;PRIVADO
15217444000150;1;3/19/2012;RICARDO FIDELIS MELO ME;2135;EMPRESARIO INDIVIDUAL;FAZENDA MARACUJA;SN;35500970;AREA RURAL;DIVINOPOLIS;MG;ATIVA;PRIVADO
15220854000150;1;3/19/2012;JOAO BATISTA LIMA DA SILVA MEI;2135;EMPRESARIO INDIVIDUAL;RUA GRACIOSA FABRO;114;95055065;DIAMANTINO;CAXIAS DO SUL;RS;ATIVA;PRIVADO
